titles,summary,genre,year
The Incredibles,"A family of undercover superheroes, while trying to live the quiet suburban life, are forced into action to save the world.","Animation, Action, Adventure",2004
Donnie Darko,"After narrowly escaping a bizarre accident, a troubled teenager is plagued by visions of a man in a large rabbit suit who manipulates him to commit a series of crimes.","Drama, Mystery, Sci-Fi",2001
"Monsters, Inc.","In order to power the city, monsters have to scare children so that they scream. However, the children are toxic to the monsters, and after a child gets through, 2 monsters realize things may not be what they think.","Animation, Adventure, Comedy",2001
Magnolia,"An epic mosaic of interrelated characters in search of love, forgiveness, and meaning in the San Fernando Valley.",Drama,1999
Dancer in the Dark,"An East European girl travels to the United States with her young son, expecting it to be like a Hollywood film.","Crime, Drama, Musical",2000
Mulholland Dr.,"After a car wreck on the winding Mulholland Drive renders a woman amnesiac, she and a perky Hollywood-hopeful search for clues and answers across Los Angeles in a twisting venture beyond dreams and reality.","Drama, Mystery, Thriller",2001
The Straight Story,An old man makes a long journey by lawnmower to mend his relationship with an ill brother.,"Biography, Drama",1999
The Iron Giant,A young boy befriends a giant robot from outer space that a paranoid government agent wants to destroy.,"Animation, Action, Adventure",1999
Sling Blade,"Karl Childers, a simple man hospitalized since his childhood murder of his mother and her lover, is released to start a new life in a small town.",Drama,1996
12 Monkeys,"In a future world devastated by disease, a convict is sent back in time to gather information about the man-made virus that wiped out most of the human population on the planet.","Mystery, Sci-Fi, Thriller",1995
The Nightmare Before Christmas,"Jack Skellington, king of Halloween Town, discovers Christmas Town, but his attempts to bring Christmas to his home causes confusion.","Animation, Family, Fantasy",1993
Groundhog Day,A weatherman finds himself inexplicably living the same day over and over again.,"Comedy, Fantasy, Romance",1993
"Blood In, Blood Out","Based on the true life experiences of poet Jimmy Santiago Baca, the film focuses on step-brothers Paco and Cruz, and their bi-racial cousin Miklo.","Crime, Drama",1993
Scent of a Woman,"A prep school student needing money agrees to ""babysit"" a blind man, but the job is not at all what he anticipated.",Drama,1992
Aladdin,A kindhearted street urchin and a power-hungry Grand Vizier vie for a magic lamp that has the power to make their deepest wishes come true.,"Animation, Adventure, Comedy",1992
JFK,New Orleans District Attorney Jim Garrison discovers there's more to the Kennedy assassination than the official story.,"Drama, History, Thriller",1991
Beauty and the Beast,A prince cursed to spend his days as a hideous monster sets out to regain his humanity by earning a young woman's love.,"Animation, Family, Fantasy",1991
Dances with Wolves,"Lieutenant John Dunbar, assigned to a remote western Civil War outpost, befriends wolves and Indians, making him an intolerable aberration in the military.","Adventure, Drama, Western",1990
Rain Man,Selfish yuppie Charlie Babbitt's father left a fortune to his savant brother Raymond and a pittance to Charlie; they travel cross-country.,Drama,1988
The Terminator,"In 1984, a human soldier is tasked to stop an indestructible cyborg killing machine, both sent from 2029, from executing a young woman, whose unborn son is the key to humanity's future salvation.","Action, Sci-Fi",1984
Kagemusha,A petty thief with an utter resemblance to a samurai warlord is hired as the lord's double. When the warlord later dies the thief is forced to take up arms in his place.,"Drama, History, War",1980
Being There,"A simpleminded, sheltered gardener becomes an unlikely trusted advisor to a powerful businessman and an insider in Washington politics.","Comedy, Drama",1979
Annie Hall,Neurotic New York comedian Alvy Singer falls in love with the ditzy Annie Hall.,"Comedy, Romance",1977
All the President's Men,"""The Washington Post"" reporters Bob Woodward and Carl Bernstein uncover the details of the Watergate scandal that leads to President Richard Nixon's resignation.","Biography, Drama, History",1976
Jaws,"When a killer shark unleashes chaos on a beach community, it's up to a local sheriff, a marine biologist, and an old seafarer to hunt the beast down.","Adventure, Thriller",1975
Dog Day Afternoon,"A man robs a bank to pay for his lover's operation, which turns into a hostage situation and a media circus.","Biography, Crime, Drama",1975
Young Frankenstein,"An American grandson of the infamous scientist, struggling to prove that his grandfather was not as insane as people believe, is invited to Transylvania, where he discovers the process that reanimates a dead body.",Comedy,1974
Papillon,"A man befriends a fellow criminal as the two of them begin serving their sentence on a dreadful prison island, which inspires the man to plot his escape.","Biography, Crime, Drama",1973
The Exorcist,"When a 12 year-old girl is possessed by a mysterious entity, her mother seeks the help of two priests to save her.",Horror,1973
Sleuth,"A man who loves games and theater invites his wife's lover to meet him, setting up a battle of wits with potentially deadly results.","Mystery, Thriller",1972
The Last Picture Show,"In 1951, a group of high schoolers come of age in a bleak, isolated, atrophied North Texas town that is slowly dying, both culturally and economically.","Drama, Romance",1971
Fiddler on the Roof,"In prerevolutionary Russia, a Jewish peasant contends with marrying off three of his daughters while growing anti-Semitic sentiment threatens his village.","Drama, Family, Musical",1971
Butch Cassidy and the Sundance Kid,"Wyoming, early 1900s. Butch Cassidy and The Sundance Kid are the leaders of a band of outlaws. After a train robbery goes wrong they find themselves on the run with a posse hard on their heels. Their solution - escape to Bolivia.","Biography, Crime, Drama",1969
Rosemary's Baby,A young couple trying for a baby move into a fancy apartment surrounded by peculiar neighbors.,"Drama, Horror",1968
Planet of the Apes,"An astronaut crew crash-lands on a planet in the distant future where intelligent talking apes are the dominant species, and humans are the oppressed and enslaved.","Adventure, Sci-Fi",1968
The Graduate,A disillusioned college graduate finds himself torn between his older lover and her daughter.,"Comedy, Drama, Romance",1967
Who's Afraid of Virginia Woolf?,"A bitter, aging couple, with the help of alcohol, use their young houseguests to fuel anguish and emotional pain towards each other over the course of a distressing night.",Drama,1966
The Sound of Music,A woman leaves an Austrian convent to become a governess to the children of a Naval officer widower.,"Biography, Drama, Family",1965
Doctor Zhivago,"The life of a Russian physician and poet who, although married to another, falls in love with a political activist's wife and experiences hardship during World War I and then the October Revolution.","Drama, Romance, War",1965
Fail Safe,"American planes are sent to deliver a nuclear attack on Moscow, but it's a mistake due to an electrical malfunction. Can all-out war be averted?","Drama, Thriller",1964
The Hustler,An up-and-coming pool player plays a long-time champion in a single high-stakes match.,"Drama, Sport",1961
Knives Out,"A detective investigates the death of a patriarch of an eccentric, combative family.","Comedy, Crime, Drama",2019
The Gentlemen,"An American expat tries to sell off his highly profitable marijuana empire in London, triggering plots, schemes, bribery and blackmail in an attempt to steal his domain out from under him.","Action, Comedy, Crime",2019
Call Me by Your Name,"In 1980s Italy, romance blossoms between a seventeen-year-old student and the older man hired as his father's research assistant.","Drama, Romance",2017
Isle of Dogs,"Set in Japan, Isle of Dogs follows a boy's odyssey in search of his lost dog.","Animation, Adventure, Comedy",2018
Dunkirk,"Allied soldiers from Belgium, the British Empire, and France are surrounded by the German Army, and evacuated during a fierce battle in World War II.","Action, Drama, History",2017
